id,Position,Track Name,Artist,Popularity
1,1,squabble up,Kendrick Lamar,86
2,2,tv off (feat. lefty gunplay),Kendrick Lamar,85
3,3,luther (with sza),Kendrick Lamar,64
4,4,wacced out murals,Kendrick Lamar,84
5,5,hey now (feat. dody6),Kendrick Lamar,83
6,6,reincarnated,Kendrick Lamar,83
7,7,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",Kendrick Lamar,82
8,8,man at the garden,Kendrick Lamar,83
9,9,That’s So True,Gracie Abrams,94
10,10,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",89
11,11,peekaboo (feat. azchike),Kendrick Lamar,81
12,12,heart pt. 6,Kendrick Lamar,81
13,13,Die With A Smile,Lady Gaga,100
14,14,Sailor Song,Gigi Perez,94
15,15,gloria (with sza),Kendrick Lamar,80
16,16,"gnx (feat. hitta j3, youngthreat, peysoh)",Kendrick Lamar,80
17,17,APT.,ROSÉ,98
18,18,BIRDS OF A FEATHER,Billie Eilish,97
19,19,Like Him (feat. Lola Young),"Tyler, The Creator",87
20,20,Who,Jimin,92
21,21,Timeless (with Playboi Carti),The Weeknd,92
22,22,Defying Gravity,Cynthia Erivo,76
23,23,Taste,Sabrina Carpenter,93
24,24,Rockin' Around The Christmas Tree,Brenda Lee,86
25,25,All I Want for Christmas Is You,Mariah Carey,89
26,26,"Good Luck, Babe!",Chappell Roan,93
27,27,WILDFLOWER,Billie Eilish,93
28,28,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",89
29,29,Jingle Bell Rock,Bobby Helms,82
30,30,"I Love You, I'm Sorry",Gracie Abrams,90
31,31,Last Christmas - Single Version,Wham!,75
32,32,A Bar Song (Tipsy),Shaboozey,84
33,33,WHATCHU KNO ABOUT ME (feat. Sexyy Red),GloRilla,80
34,34,Espresso,Sabrina Carpenter,88
35,35,I Had Some Help (Feat. Morgan Wallen),Post Malone,84
36,36,Ma Meilleure Ennemie (from the series Arcane League of Legends),Stromae,77
37,37,NIGHTS LIKE THIS,The Kid LAROI,88
38,38,Lose Control,Teddy Swims,89
39,39,Please Please Please,Sabrina Carpenter,87
40,40,Tu Boda,Oscar Maydon,93
41,41,Beautiful Things,Benson Boone,89
42,42,Not Like Us,Kendrick Lamar,88
43,43,No One Noticed,The Marías,84
44,44,Popular,Ariana Grande,75
45,45,What Is This Feeling?,Ariana Grande,73
46,46,Love Somebody,Morgan Wallen,86
47,47,HOT TO GO!,Chappell Roan,88
48,48,Sweater Weather,The Neighbourhood,90
49,49,Stick Season,Noah Kahan,87
50,50,Bed Chem,Sabrina Carpenter,90